profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
,,SC,MORTGAGE,"55,000",16.65,1975,45,223726,"26,864",other,2700,36,6.72,83,3244,8,,18-Jan
marketing strategist,10,OR,MORTGAGE,"155,000",13.9,1975,16,404526,"66,681",debt_consolidation,20000,36,11.98,664,27188,66,,18-Mar
teacher,10,SD,OWN,"95,000",11.45,1975,40,73740,"14,461",debt_consolidation,5000,36,7.96,157,6194,16,,18-Mar
sales mgr,10,MA,MORTGAGE,"125,000",4.24,1975,23,504652,"11,308",other,30000,36,9.92,967,38928,97,,18-Mar
,,MS,MORTGAGE,"45,000",1.39,1975,16,79700,719,debt_consolidation,2500,36,12.62,84,3447,8,,18-Mar
,,NJ,MORTGAGE,"12,036",74.38,1976,31,53765,"26,641",debt_consolidation,1200,36,6.72,37,1442,4,,18-Jan
,,MI,OWN,"14,000",58.23,1976,6,27400,"21,924",credit_card,4000,36,15.05,139,5806,14,,18-Feb
,,NY,RENT,"48,000",34.63,1976,27,81533,"17,202",debt_consolidation,11000,60,11.99,245,17595,24,,18-Jan
,,MN,OWN,"65,000",34.53,1976,28,155619,"52,058",debt_consolidation,33875,36,11.99,"1,125",46060,112,,18-Mar
owner,8,TX,MORTGAGE,"144,000",34.26,1976,46,555548,"119,593",credit_card,30000,36,6.72,922,36048,92,,18-Jan
ceo,10,MN,MORTGAGE,"139,000",29.57,1976,24,416561,"129,176",credit_card,10000,60,11.99,222,15995,22,,18-Feb
medical doctor,10,NY,OWN,"90,000",23.82,1976,40,824084,"54,718",credit_card,25700,60,18.06,653,48907,65,,18-Jan
credit review manager,4,AZ,MORTGAGE,"140,000",23.31,1976,36,365058,"28,351",credit_card,10000,36,5.31,301,11593,30,,18-Feb
,,SD,OWN,"31,500",19.09,1976,18,32725,"25,493",credit_card,2600,36,9.43,83,3336,8,,18-Mar
,,TX,OWN,"95,000",15.98,1976,22,197172,"39,524",debt_consolidation,40000,60,14.08,932,68160,93,,18-Feb
sales rep,7,VA,MORTGAGE,"80,000",13.76,1976,27,227567,"22,407",debt_consolidation,25000,36,7.34,776,30505,78,,18-Mar
pharmacy technician ,10,CA,OWN,"124,000",12.42,1976,20,63791,"44,081",home_improvement,28000,36,18.45,"1,019",43498,102,,18-Mar
,,NE,OWN,"31,280",1.84,1976,7,52057,"1,940",home_improvement,10000,60,15.05,238,17525,24,,18-Feb
retail,3,OH,MORTGAGE,"33,000",57.24,1977,24,300914,"123,108",debt_consolidation,9600,36,16.02,338,14214,34,,18-Feb
program analyst,10,MD,RENT,"120,000",37.72,1977,29,198920,"127,958",debt_consolidation,2200,36,30.65,94,4223,9,,18-Feb
solution architect ,6,MO,MORTGAGE,"176,000",29.92,1977,64,495268,"138,983",debt_consolidation,14500,36,6.71,446,17419,45,,18-Mar
owner,10,AR,OWN,"100,000",29.59,1977,11,104300,"54,689",debt_consolidation,8000,36,7.96,251,9910,25,,18-Mar
rn,10,LA,MORTGAGE,"50,000",29.28,1977,36,287168,"57,649",debt_consolidation,11800,60,16.02,287,21252,29,,18-Jan
aircraft maintenance control,3,TX,MORTGAGE,"82,757",26.98,1977,13,331575,"80,906",home_improvement,6000,36,11.99,199,8158,20,,18-Feb
customer engineer,10,NJ,MORTGAGE,"155,000",23.71,1977,42,350993,"82,253",debt_consolidation,22325,36,17.09,797,33771,80,,18-Feb
sr business specialist,10,NY,MORTGAGE,"100,000",21.8,1977,26,312589,"49,224",debt_consolidation,21000,60,15.04,500,36792,50,,18-Mar
president & ceo,10,MI,OWN,"197,280",21.12,1977,35,576110,"105,626",other,10000,36,10.91,327,13273,33,,18-Jan
owner,10,MD,MORTGAGE,"115,000",19.42,1977,38,572894,"66,366",credit_card,12600,60,13.59,291,21162,29,,18-Jan
table games dealer,3,NV,MORTGAGE,"55,000",18.31,1977,22,81878,"30,342",credit_card,10000,36,7.97,313,12391,31,,18-Jan
prep cook,6,OH,OWN,"42,000",16.65,1977,8,31750,"25,340",debt_consolidation,10000,36,16.01,352,14803,35,,18-Mar
,,SC,MORTGAGE,"118,000",16.08,1977,33,241477,"50,209",credit_card,40000,60,11.98,889,63960,89,,18-Feb
reader advisor,10,VA,RENT,"77,000",14.82,1977,29,74852,"44,015",debt_consolidation,35000,60,15.05,834,61338,83,,18-Jan
,,MA,MORTGAGE,"75,000",14.43,1977,25,332300,"28,656",home_improvement,12000,36,7.96,376,14866,38,,18-Mar
registered nurse / director of nursing,8,NY,OWN,"72,000",13.88,1977,51,286900,"31,950",debt_consolidation,16000,60,7.35,319,21880,32,,18-Mar
sales consultant,7,MS,MORTGAGE,"104,177",13.39,1977,15,236721,"41,426",debt_consolidation,3500,36,14.08,120,4978,12,,18-Jan
,,MD,MORTGAGE,"47,710",12.91,1977,20,215100,"17,763",debt_consolidation,14000,60,13.58,323,23506,32,,18-Mar
accounting clerk,7,CA,RENT,"65,926",11.76,1977,9,35783,"28,604",debt_consolidation,28000,36,16.02,985,41457,98,,18-Feb
,,WV,OWN,"15,599",10.08,1977,10,4400,"3,457",debt_consolidation,4000,36,13.58,136,5630,14,,18-Feb
office manager,10,NJ,MORTGAGE,"81,000",7.3,1977,21,64200,"18,330",debt_consolidation,25000,60,12.62,564,40775,56,,18-Feb
,,NC,MORTGAGE,"27,550",39.61,1978,20,106566,"48,084",debt_consolidation,4800,36,7.34,149,5857,15,,18-Mar
,,FL,OWN,"29,200",37.61,1978,34,45829,"21,228",debt_consolidation,8200,36,20.39,306,13216,31,,18-Mar
senior accountant,4,KS,MORTGAGE,"65,000",36.54,1978,30,320446,"73,336",debt_consolidation,40000,36,22.91,"1,547",67492,155,,18-Jan
owner,10,IN,MORTGAGE,"125,000",36.29,1978,17,574851,"125,417",debt_consolidation,34000,60,16.02,827,61234,83,,18-Mar
siu qc/qa analyst,10,NC,RENT,"80,000",29.62,1978,16,82301,"51,955",debt_consolidation,35000,36,14.08,"1,198",49784,120,,18-Jan
paralegal ,10,GA,MORTGAGE,"60,000",27.84,1978,22,239781,"37,064",debt_consolidation,15000,36,9.44,480,19248,48,,18-Mar
,,MO,MORTGAGE,"30,720",27.77,1978,13,155809,"41,810",debt_consolidation,14400,60,16.02,350,25934,35,,18-Jan
"supervisor, production",10,MS,OWN,"101,794",26.22,1978,20,103366,"63,234",debt_consolidation,29000,36,12.62,972,39979,97,,18-Jan
surgical assistant,10,PA,OWN,"73,000",25.4,1978,50,130171,"97,996",debt_consolidation,7500,36,12.62,251,10340,25,,18-Feb
,,KS,RENT,"50,000",24.27,1978,43,43100,"21,464",major_purchase,20000,36,10.91,654,26546,65,,18-Jan
sales,1,NY,OWN,"119,000",21.48,1978,27,107795,"62,840",credit_card,25000,36,13.58,849,35185,85,,18-Mar
senior accountant,4,TX,MORTGAGE,"114,000",20.22,1978,45,98351,"64,066",credit_card,18000,36,10.9,588,23886,59,,18-Mar
regional account manager ,10,MA,MORTGAGE,"130,000",20.11,1978,34,392076,"303,858",debt_consolidation,7000,36,6.72,215,8411,22,,18-Feb
assistant dir rn,7,CA,MORTGAGE,"180,000",19.12,1978,40,1270604,"124,964",major_purchase,28800,60,12.62,650,46973,65,,18-Jan
project manager,5,CA,MORTGAGE,"140,000",16.5,1978,30,441379,"66,239",other,12800,60,14.08,298,21811,30,,18-Feb
general manager,10,CA,MORTGAGE,"150,000",15.45,1978,22,480384,"29,820",debt_consolidation,8000,36,10.91,262,10618,26,,18-Feb
president,10,CA,RENT,"100,000",15.1,1978,27,90512,"23,555",major_purchase,12000,36,5.32,361,13915,36,,18-Feb
caregiver & geiger,10,WA,RENT,"86,000",14.26,1978,26,50849,"33,189",credit_card,21000,36,15.05,728,30482,73,,18-Jan
,,WI,MORTGAGE,"25,000",11.59,1978,25,98950,"4,597",other,10000,36,16.02,352,14806,35,,18-Feb
account manager,9,PA,RENT,"56,891",11.29,1978,13,26300,"15,727",debt_consolidation,6000,36,22.91,232,10124,23,,18-Jan
hr director,10,GA,MORTGAGE,"80,000",10.23,1978,17,311002,"31,484",credit_card,10000,36,7.34,310,12202,31,,18-Mar
software engineer,6,FL,MORTGAGE,"120,000",4.32,1978,6,301100,"20,814",major_purchase,40000,60,15.04,952,70080,95,,18-Feb
srsupervisor,10,NJ,MORTGAGE,"81,000",3.23,1978,16,293575,"6,858",debt_consolidation,12500,36,6.72,384,15020,38,,18-Jan
campus safety officer,0,CO,MORTGAGE,"44,000",34,1979,17,266755,"31,307",other,6000,36,10.42,195,7876,19,,18-Jan
,,PA,OWN,"120,000",33.42,1979,67,406410,"174,284",credit_card,3000,36,6.08,91,3547,9,,18-Jan
,,TX,OWN,"28,000",32.88,1979,16,22000,"8,644",medical,1600,36,11.99,53,2176,5,,18-Jan
assistant supervisor ,1,HI,MORTGAGE,"36,000",31.5,1979,15,376501,"30,063",credit_card,24000,60,30.75,788,60900,79,,18-Jan
cnc operator,10,TX,MORTGAGE,"98,000",30.82,1979,55,339067,"96,545",home_improvement,10200,60,9.44,214,15014,21,,18-Jan
controller,10,IN,MORTGAGE,"140,000",28.12,1979,60,326391,"172,538",debt_consolidation,28000,60,10.9,607,43260,61,,18-Mar
sales manager,4,NC,MORTGAGE,"59,500",27.83,1979,18,108547,"44,492",debt_consolidation,12000,36,10.42,390,15751,39,,18-Jan
manager is - tier 1 nursing and pharmacy,3,TN,MORTGAGE,"103,000",26.79,1979,30,389361,"44,020",debt_consolidation,30000,36,6.08,914,35472,91,,18-Jan
electrical engineer,2,IN,MORTGAGE,"92,000",26.78,1979,12,244383,"64,093",other,26650,60,13.59,614,44759,61,,18-Jan
quality,10,AZ,MORTGAGE,"74,000",26.24,1979,45,313410,"48,309",credit_card,14000,60,12.61,316,22827,32,,18-Feb
,,GA,OWN,"50,000",24.11,1979,11,83700,"38,922",credit_card,12000,36,6.71,369,14416,37,,18-Mar
,,FL,RENT,"33,768",23.52,1979,10,42843,"40,436",credit_card,10000,36,9.92,322,12976,32,,18-Mar
communication specialist,9,TX,RENT,"40,000",21.9,1979,19,43100,"16,572",credit_card,12800,36,9.44,410,16425,41,,18-Jan
,,CA,MORTGAGE,"155,000",19.46,1979,39,831815,"100,801",debt_consolidation,35000,36,7.35,"1,086",42718,109,,18-Feb
managing director,5,OR,MORTGAGE,"144,000",17.72,1979,48,630813,"429,919",other,3000,36,16.02,106,4442,11,,18-Feb
allied health division chair,10,AR,OWN,"170,000",16.11,1979,35,159841,"87,154",debt_consolidation,16000,60,9.93,339,23944,34,,18-Feb
hr manager,10,MA,MORTGAGE,"123,000",15.59,1979,63,575600,"69,071",debt_consolidation,15000,36,6.72,461,18024,46,,18-Jan
,,NY,MORTGAGE,"66,000",15.11,1979,21,374500,"27,142",other,10000,60,12.62,226,16310,23,,18-Feb
office manager,4,TX,MORTGAGE,"29,250",13.7,1979,22,170300,"12,071",debt_consolidation,18000,36,9.43,576,23092,58,,18-Mar
sales,10,VA,MORTGAGE,"100,000",11.5,1979,23,220804,"39,047",medical,2000,36,14.07,68,2844,7,,18-Mar
director,10,MS,OWN,"168,000",11.32,1979,52,425003,"118,048",debt_consolidation,35000,60,9.93,742,52378,74,,18-Feb
maitnence supervisor,8,MO,OWN,"30,000",9.52,1979,19,46161,"2,300",house,15000,36,6.07,457,17732,46,,18-Mar
professor of english,10,CO,MORTGAGE,"90,000",8.99,1979,30,350016,"36,926",debt_consolidation,12000,36,6.71,369,14416,37,,18-Mar
maintenance ,10,TX,MORTGAGE,"35,000",8.95,1979,34,212600,"8,766",debt_consolidation,30000,60,11.99,667,47985,67,,18-Jan
cfo,0,LA,RENT,"340,000",7.98,1979,37,234764,"124,783",debt_consolidation,30000,36,5.32,903,34788,90,,18-Feb
vp & counsel,3,MD,OWN,"281,125",7.15,1979,26,1627460,"98,339",credit_card,35000,36,6.72,"1,076",42056,108,,18-Jan
business administrator,7,NY,MORTGAGE,"112,000",7.1,1979,25,618901,"31,458",debt_consolidation,15000,36,10.42,487,19689,49,,18-Feb
,,TX,MORTGAGE,"53,655",7.05,1979,46,172900,"10,440",debt_consolidation,15000,36,9.93,484,19469,48,,18-Jan
head teller,10,TN,MORTGAGE,"25,000",81.61,1980,54,195921,"140,472",debt_consolidation,16000,60,19.03,415,31224,42,,18-Jan
residential ast,10,CT,MORTGAGE,"45,000",37.49,1980,42,195191,"44,537",debt_consolidation,4900,36,7.35,152,5980,15,,18-Jan
,,CA,OWN,"70,209",33.06,1980,12,114177,"68,178",debt_consolidation,23800,60,15.05,567,41710,57,,18-Feb
production operation specialist,10,OK,OWN,"61,401",28.62,1980,23,91027,"68,057",debt_consolidation,20000,36,14.08,684,28448,68,,18-Jan
legal assistant & payroll ,10,TX,MORTGAGE,"69,131",28.58,1980,26,333816,"50,674",home_improvement,25000,60,9.43,524,36788,52,,18-Mar
,,AZ,MORTGAGE,"48,200",27.61,1980,33,132509,"33,200",debt_consolidation,1200,36,14.08,41,1707,4,,18-Jan
executive director,10,MA,MORTGAGE,"154,000",26.17,1980,21,436376,"80,997",debt_consolidation,35000,36,6.72,"1,076",42056,108,,18-Jan
it specialist,6,NJ,MORTGAGE,"75,000",25.18,1980,20,89364,"68,418",debt_consolidation,21000,60,10.42,451,31941,45,,18-Jan
software engineer,10,NH,MORTGAGE,"155,000",24.25,1980,32,393114,"109,685",home_improvement,25000,60,7.35,499,34188,50,,18-Feb
program analyst iii,10,MI,RENT,"64,000",22.67,1980,14,57191,"42,298",credit_card,22000,60,12.62,496,35882,50,,18-Jan
bartender,10,CA,RENT,"50,000",22.14,1980,27,162144,"42,086",credit_card,11200,36,5.31,337,12984,34,,18-Mar
,,VA,OWN,"39,000",21.48,1980,28,62051,"22,347",credit_card,9900,36,7.35,307,12083,31,,18-Jan
asst to ceo,10,CA,RENT,"74,000",21.29,1980,19,118862,"67,919",credit_card,18000,36,13.59,612,25339,61,,18-Jan
,,WV,OWN,"35,000",21.09,1980,19,39509,"15,283",debt_consolidation,21000,60,16.02,511,37821,51,,18-Feb
,,CA,MORTGAGE,"65,000",20.2,1980,31,46976,"21,732",debt_consolidation,15000,36,12.62,503,20679,50,,18-Jan
agent,10,AZ,MORTGAGE,"169,000",13.15,1980,41,717920,"68,514",debt_consolidation,25000,36,5.31,753,28983,75,,18-Mar
human resources business partner,10,TX,MORTGAGE,"82,000",12.03,1980,51,291570,"126,367",debt_consolidation,11200,60,16.01,272,20166,27,,18-Mar
customer service rep,5,NY,OWN,"65,000",11.32,1980,45,73770,"7,029",debt_consolidation,5000,36,6.71,154,6007,15,,18-Feb
director of support services,10,NC,OWN,"76,300",10.71,1980,30,185068,"26,515",debt_consolidation,15000,36,6.72,461,18024,46,,18-Jan
executive assistant,1,CA,RENT,"72,000",9.83,1980,10,37941,"21,865",medical,1000,36,9.44,32,1283,3,,18-Feb
machinist/engineer,10,FL,OWN,"65,000",9.38,1980,21,97800,"19,580",debt_consolidation,13000,36,7.35,403,15867,40,,18-Jan
district supervisor,10,OH,MORTGAGE,"67,000",9.08,1980,14,324478,"24,595",debt_consolidation,30150,36,12.62,"1,010",41565,101,,18-Feb
assembler,10,MA,MORTGAGE,"40,000",8.04,1980,9,81300,"7,604",home_improvement,3625,36,5.32,109,4204,11,,18-Jan
bookkeeping/audit,10,MN,RENT,"38,700",57.02,1981,34,93351,"64,509",debt_consolidation,36400,60,15.04,867,63773,87,,18-Mar
vice president client manager,3,CA,MORTGAGE,"89,179",35.8,1981,21,414424,"111,351",debt_consolidation,12000,36,7.97,376,14869,38,,18-Jan
hr supervisor,10,MD,MORTGAGE,"160,000",33.97,1981,38,506818,"187,288",credit_card,35000,60,10.9,759,54075,76,,18-Mar
registered cardiovascular technologist,10,FL,MORTGAGE,"87,000",32.08,1981,42,507129,"83,517",debt_consolidation,20000,36,13.58,679,28148,68,,18-Mar
retired,3,NY,OWN,"87,000",31.42,1981,39,338448,"83,658",credit_card,13000,60,5.31,247,16452,25,,18-Mar
nutrition services,9,WA,RENT,"32,900",30.35,1981,21,27200,"20,485",debt_consolidation,20000,36,15.05,694,29030,69,,18-Feb
receptionist ,1,AL,RENT,"70,000",29.64,1981,36,103715,"56,057",debt_consolidation,4000,36,15.05,139,5806,14,,18-Jan
,,TX,OWN,"36,000",29.03,1981,29,98500,"25,381",debt_consolidation,25825,36,19.42,952,40871,95,,18-Mar
branch manager,2,RI,MORTGAGE,"73,364",26.19,1981,41,66467,"34,003",credit_card,10000,36,17.09,357,15127,36,,18-Feb
nut ricin technician,8,TN,RENT,"33,250",24.66,1981,21,64648,"32,435",other,15000,36,6.71,461,18020,46,,18-Mar
district conservationist,10,MD,MORTGAGE,"99,000",24.29,1981,34,437356,"86,788",debt_consolidation,25000,36,6.08,761,29560,76,,18-Feb
it administrator,2,CA,MORTGAGE,"96,000",23.48,1981,52,624266,"106,635",debt_consolidation,40000,60,10.42,858,60840,86,,18-Jan
lift truck operator,10,NJ,RENT,"60,000",22.58,1981,13,66156,"31,772",debt_consolidation,16000,60,10.42,343,24336,34,,18-Feb
,,MI,MORTGAGE,"75,000",22.16,1981,30,220515,"52,779",debt_consolidation,7200,36,7.97,226,8922,23,,18-Jan
associate,2,TX,OWN,"105,000",22.1,1981,37,171038,"149,856",debt_consolidation,24000,60,28.72,758,58464,76,,18-Mar
track welder,10,AZ,MORTGAGE,"125,000",21.82,1981,29,188700,"48,877",home_improvement,40000,36,6.08,"1,218",47296,122,,18-Feb
letter carrier,10,NJ,OWN,"82,000",21.69,1981,76,249867,"57,229",credit_card,40000,36,9.44,"1,280",51328,128,,18-Feb
future executive sr sales director,10,MO,MORTGAGE,"80,000",18.5,1981,25,258439,"28,073",credit_card,14500,36,6.08,442,17145,44,,18-Feb
heavy equipment operator,10,WV,MORTGAGE,"45,300",17.43,1981,20,146670,"24,429",debt_consolidation,18000,60,16.02,438,32418,44,,18-Feb
agent,10,KS,MORTGAGE,"120,000",17.03,1981,17,189965,"69,542",debt_consolidation,25000,60,9.44,524,36800,52,,18-Jan
quantitative modeller,2,OR,MORTGAGE,"120,000",16.53,1981,15,637272,"37,181",home_improvement,35000,36,6.72,"1,076",42056,108,,18-Jan
,,AR,RENT,"60,000",16.32,1981,29,93537,"21,993",debt_consolidation,18000,36,6.08,548,21283,55,,18-Jan
,,AL,MORTGAGE,"80,000",12.77,1981,23,299948,"33,374",home_improvement,17500,60,9.44,367,25760,37,,18-Jan
optometrist,10,GA,MORTGAGE,"95,000",12.22,1981,37,331835,"38,672",other,3500,36,6.07,107,4137,11,,18-Feb
general partner,10,MD,MORTGAGE,"363,000",11.9,1981,29,2006500,"224,693",renewable_energy,40000,36,11.98,"1,328",54376,133,,18-Mar
director of operations,10,NJ,RENT,"101,000",11.23,1981,13,105117,"29,909",debt_consolidation,19000,36,13.58,646,26741,65,,18-Mar
sales department supervisor ,2,DC,RENT,"40,000",6.15,1981,19,31600,"4,973",debt_consolidation,8500,36,11.98,282,11555,28,,18-Mar
